"Notes","Year","Year Code","Month","Month Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error,% of Total Deaths
,"1999","1999","Jan., 1999","1999/01",227604,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"1999","1999","Feb., 1999","1999/02",208174,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"1999","1999","Mar., 1999","1999/03",226765,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"1999","1999","Apr., 1999","1999/04",196544,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.3%
,"1999","1999","May, 1999","1999/05",191982,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.3%
,"1999","1999","Jun., 1999","1999/06",180153,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.3%
,"1999","1999","Jul., 1999","1999/07",186866,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.3%
,"1999","1999","Aug., 1999","1999/08",182496,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.3%
,"1999","1999","Sep., 1999","1999/09",180310,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.3%
,"1999","1999","Oct., 1999","1999/10",195639,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.3%
,"1999","1999","Nov., 1999","1999/11",192085,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.3%
,"1999","1999","Dec., 1999","1999/12",222781,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
"Total","1999","1999",,,2391399,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4.2%
,"2000","2000","Jan., 2000","2000/01",247828,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"2000","2000","Feb., 2000","2000/02",203318,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"2000","2000","Mar., 2000","2000/03",201836,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"2000","2000","Apr., 2000","2000/04",190426,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.3%
,"2000","2000","May, 2000","2000/05",193111,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.3%
,"2000","2000","Jun., 2000","2000/06",183122,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.3%
,"2000","2000","Jul., 2000","2000/07",188570,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.3%
,"2000","2000","Aug., 2000","2000/08",188688,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.3%
,"2000","2000","Sep., 2000","2000/09",186962,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.3%
,"2000","2000","Oct., 2000","2000/10",199825,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"2000","2000","Nov., 2000","2000/11",199294,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"2000","2000","Dec., 2000","2000/12",220371,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
"Total","2000","2000",,,2403351,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4.2%
,"2001","2001","Jan., 2001","2001/01",226637,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"2001","2001","Feb., 2001","2001/02",198684,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.3%
,"2001","2001","Mar., 2001","2001/03",215524,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"2001","2001","Apr., 2001","2001/04",202723,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"2001","2001","May, 2001","2001/05",200634,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"2001","2001","Jun., 2001","2001/06",191219,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.3%
,"2001","2001","Jul., 2001","2001/07",191263,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.3%
,"2001","2001","Aug., 2001","2001/08",190960,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.3%
,"2001","2001","Sep., 2001","2001/09",188834,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.3%
,"2001","2001","Oct., 2001","2001/10",202447,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"2001","2001","Nov., 2001","2001/11",197164,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.3%
,"2001","2001","Dec., 2001","2001/12",210336,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
"Total","2001","2001",,,2416425,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4.3%
,"2002","2002","Jan., 2002","2002/01",225981,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"2002","2002","Feb., 2002","2002/02",209433,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"2002","2002","Mar., 2002","2002/03",226471,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"2002","2002","Apr., 2002","2002/04",199782,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"2002","2002","May, 2002","2002/05",199866,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"2002","2002","Jun., 2002","2002/06",187688,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.3%
,"2002","2002","Jul., 2002","2002/07",193274,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.3%
,"2002","2002","Aug., 2002","2002/08",191023,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.3%
,"2002","2002","Sep., 2002","2002/09",187561,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.3%
,"2002","2002","Oct., 2002","2002/10",199975,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"2002","2002","Nov., 2002","2002/11",202310,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"2002","2002","Dec., 2002","2002/12",220023,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
"Total","2002","2002",,,2443387,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4.3%
,"2003","2003","Jan., 2003","2003/01",224122,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"2003","2003","Feb., 2003","2003/02",200529,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"2003","2003","Mar., 2003","2003/03",213548,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"2003","2003","Apr., 2003","2003/04",199379,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"2003","2003","May, 2003","2003/05",199161,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"2003","2003","Jun., 2003","2003/06",191526,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.3%
,"2003","2003","Jul., 2003","2003/07",193630,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.3%
,"2003","2003","Aug., 2003","2003/08",192520,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.3%
,"2003","2003","Sep., 2003","2003/09",188503,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.3%
,"2003","2003","Oct., 2003","2003/10",202794,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"2003","2003","Nov., 2003","2003/11",201078,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"2003","2003","Dec., 2003","2003/12",241498,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
"Total","2003","2003",,,2448288,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4.3%
,"2004","2004","Jan., 2004","2004/01",237760,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"2004","2004","Feb., 2004","2004/02",204182,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"2004","2004","Mar., 2004","2004/03",209995,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"2004","2004","Apr., 2004","2004/04",196362,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.3%
,"2004","2004","May, 2004","2004/05",194476,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.3%
,"2004","2004","Jun., 2004","2004/06",186273,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.3%
,"2004","2004","Jul., 2004","2004/07",190732,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.3%
,"2004","2004","Aug., 2004","2004/08",189386,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.3%
,"2004","2004","Sep., 2004","2004/09",184417,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.3%
,"2004","2004","Oct., 2004","2004/10",198213,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.3%
,"2004","2004","Nov., 2004","2004/11",193805,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.3%
,"2004","2004","Dec., 2004","2004/12",212014,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
"Total","2004","2004",,,2397615,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4.2%
,"2005","2005","Jan., 2005","2005/01",226433,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"2005","2005","Feb., 2005","2005/02",213336,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"2005","2005","Mar., 2005","2005/03",231095,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"2005","2005","Apr., 2005","2005/04",204835,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"2005","2005","May, 2005","2005/05",200826,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"2005","2005","Jun., 2005","2005/06",187375,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.3%
,"2005","2005","Jul., 2005","2005/07",191366,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.3%
,"2005","2005","Aug., 2005","2005/08",190791,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.3%
,"2005","2005","Sep., 2005","2005/09",185480,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.3%
,"2005","2005","Oct., 2005","2005/10",198014,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.3%
,"2005","2005","Nov., 2005","2005/11",198613,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.3%
,"2005","2005","Dec., 2005","2005/12",219853,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
"Total","2005","2005",,,2448017,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,4.3%
,"2006","2006","Jan., 2006","2006/01",220085,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"2006","2006","Feb., 2006","2006/02",201034,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"2006","2006","Mar., 2006","2006/03",222198,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"2006","2006","Apr., 2006","2006/04",202085,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"2006","2006","May, 2006","2006/05",200628,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"2006","2006","Jun., 2006","2006/06",188402,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.3%
,"2006","2006","Jul., 2006","2006/07",194576,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.3%
,"2006","2006","Aug., 2006","2006/08",190968,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.3%
,"2006","2006","Sep., 2006","2006/09",188178,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.3%
,"2006","2006","Oct., 2006","2006/10",202201,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
,"2006","2006","Nov., 2006","2006/11",200453,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.4%
