time_start,population,deaths,age_group,sex,location,year,week,units_per_year
1/4/2014,318386329,54065,All Ages,both,USA,2014,1,52
1/11/2014,318386329,56353,All Ages,both,USA,2014,2,52
1/18/2014,318386329,54769,All Ages,both,USA,2014,3,52
1/25/2014,318386329,54223,All Ages,both,USA,2014,4,52
2/1/2014,318386329,54074,All Ages,both,USA,2014,5,52
2/8/2014,318386329,53484,All Ages,both,USA,2014,6,52
2/15/2014,318386329,53910,All Ages,both,USA,2014,7,52
2/22/2014,318386329,52752,All Ages,both,USA,2014,8,52
3/1/2014,318386329,51768,All Ages,both,USA,2014,9,52
3/8/2014,318386329,52163,All Ages,both,USA,2014,10,52
3/15/2014,318386329,51912,All Ages,both,USA,2014,11,52
3/22/2014,318386329,51487,All Ages,both,USA,2014,12,52
3/29/2014,318386329,50945,All Ages,both,USA,2014,13,52
4/5/2014,318386329,50948,All Ages,both,USA,2014,14,52
4/12/2014,318386329,50793,All Ages,both,USA,2014,15,52
4/19/2014,318386329,49976,All Ages,both,USA,2014,16,52
4/26/2014,318386329,49997,All Ages,both,USA,2014,17,52
5/3/2014,318386329,49738,All Ages,both,USA,2014,18,52
5/10/2014,318386329,50430,All Ages,both,USA,2014,19,52
5/17/2014,318386329,48003,All Ages,both,USA,2014,20,52
5/24/2014,318386329,48689,All Ages,both,USA,2014,21,52
5/31/2014,318386329,48254,All Ages,both,USA,2014,22,52
6/7/2014,318386329,47831,All Ages,both,USA,2014,23,52
6/14/2014,318386329,47907,All Ages,both,USA,2014,24,52
6/21/2014,318386329,47698,All Ages,both,USA,2014,25,52
6/28/2014,318386329,47539,All Ages,both,USA,2014,26,52
7/5/2014,318386329,47535,All Ages,both,USA,2014,27,52
7/12/2014,318386329,47595,All Ages,both,USA,2014,28,52
7/19/2014,318386329,47320,All Ages,both,USA,2014,29,52
7/26/2014,318386329,47259,All Ages,both,USA,2014,30,52
8/2/2014,318386329,47094,All Ages,both,USA,2014,31,52
8/9/2014,318386329,47201,All Ages,both,USA,2014,32,52
8/16/2014,318386329,46852,All Ages,both,USA,2014,33,52
8/23/2014,318386329,46863,All Ages,both,USA,2014,34,52
8/30/2014,318386329,46751,All Ages,both,USA,2014,35,52
9/6/2014,318386329,47521,All Ages,both,USA,2014,36,52
9/13/2014,318386329,47141,All Ages,both,USA,2014,37,52
9/20/2014,318386329,48223,All Ages,both,USA,2014,38,52
9/27/2014,318386329,48527,All Ages,both,USA,2014,39,52
10/4/2014,318386329,48457,All Ages,both,USA,2014,40,52
10/11/2014,318386329,49499,All Ages,both,USA,2014,41,52
10/18/2014,318386329,49427,All Ages,both,USA,2014,42,52
10/25/2014,318386329,49252,All Ages,both,USA,2014,43,52
